ccn,name,state,beds,fte,taxable_wage_per_hour,benefit_load_per_hour,loaded_staff_cost_per_hour,contract_labor,contract_labor_intensity,operating_margin,estimated_rn_need_fte,npr,total_costs,hcris_confidence,fy_end
451329,RANKIN COUNTY HOSPITAL DISTRICT,TX,15.0,71.0,59.46047535211268,17.838142605633802,81.8473443221831,,,-0.5819890394704983,19.17,9577457.0,15151432.0,0.85,09/30/2023
471300,GRACE COTTAGE HOSPITAL,VT,19.0,133.0,60.95200983227299,18.2856029496819,83.90044153412377,,,-0.05102206812629269,35.910000000000004,24865319.0,26133999.0,0.85,09/30/2023
450639,TEXAS HEALTH H-E-B,TX,195.0,1157.0,47.93004246725617,10.213255850674821,61.80994656667609,3972381.0,0.033292134496977946,0.16375521677732077,312.39000000000004,317768020.0,265731849.0,0.92,09/30/2023
301306,CONCORD HOSPITAL - FRANKLIN,NH,25.0,101.0,46.74826732673267,14.024480198019802,64.34898997524752,,,0.18667583403836538,27.270000000000003,34526799.0,28081480.0,0.85,09/30/2023
020018,YK DELTA REGIONAL HOSPITAL,AK,34.0,1630.0,36.32201097215668,2.9495044832468145e-07,39.10064510647712,,,,440.1,,166714886.0,0.9,09/30/2023
251306,PERRY COUNTY GENERAL HOSPITAL,MS,22.0,38.0,45.17416497975708,13.552249493927123,62.182238094635615,,,-0.6272369244430276,10.260000000000002,4153303.0,6758408.0,0.85,09/30/2023
370244,CREEK NATION HOSPITAL COUNCIL OAK,OK,40.0,88.77,32.126519700869146,9.637955910260743,44.22215436824638,,,-3.58360961458765,23.9679,6515100.0,29862675.0,0.85,09/30/2023
073300,CONNECTICUT CHILDRENS MEDICAL CENTER,CT,187.0,1945.0,48.80797088194581,14.642391264583743,67.18417191899842,,,0.04587675085853362,525.1500000000001,467816565.0,446354661.0,0.85,09/30/2023
261329,COX-MONETT HOSPITAL,MO,25.0,249.0,53.84580823293173,16.153742469879518,74.11875503263053,,,0.19303000896929087,67.23,63425304.0,51182317.0,0.85,09/30/2023
111331,MITCHELL COUNTY HOSPITAL,GA,25.0,129.64,62.67462188189781,18.802386564569343,86.27161702043233,,,0.027893717497315954,35.0028,37623239.0,36573787.0,0.85,09/30/2023
110121,GRADY GENERAL HOSPITAL,GA,44.0,142.15,40.52968492112882,8.557820828485617,52.18802664608079,3069945.0,0.20393646952941913,0.12790805393114216,38.380500000000005,30797271.0,26858052.0,0.92,09/30/2023
451323,ADVENTHEALTH ROLLINS BROOK,TX,25.0,90.0,34.139364316239316,10.241809294871794,46.99283498130342,,,0.0043279383644913684,24.3,21036575.0,20945530.0,0.85,09/30/2023
340070,ALAMANCE REGIONAL MEDICAL CENTER,NC,176.0,1189.82,39.51478964820794,8.499337084601033,51.03700814089687,17385818.0,0.1509473451582099,0.09192761951344298,321.2514,284333872.0,258195736.0,0.92,09/30/2023
370172,CHOCTAW NATION HEALTH CARE CENTER,OK,43.0,1772.0,35.95716704288939,5.426289286334432e-07,38.70789086429936,,,,478.44000000000005,,123501182.0,0.9,09/30/2023
134002,INTERMOUNTAIN,ID,150.0,222.0,35.40926022176022,10.622778066528065,48.74084669525294,,,0.5779958961193866,59.940000000000005,51523916.0,21743304.0,0.85,09/30/2023
340091,THE MOSES H. CONE MEMORIAL HOSPITAL,NC,760.0,6040.0,42.527626719307186,8.626849767575141,54.40783993090933,34177504.0,0.060122909066989944,0.07979402314842374,1630.8000000000002,1388136763.0,1277371746.0,0.92,09/30/2023
171328,GREAT PLAINS OF OTTAWA COUNTY  INC,KS,25.0,63.0,27.928304334554337,8.378491300366301,38.443310916514044,,,0.05240716498612425,17.01,8082807.0,7659210.0,0.85,09/30/2023
451300,PARMER COUNTY COMMUNITY HOSPITAL,TX,25.0,69.0,33.60696070234114,10.082088210702342,46.259981406772575,,,-0.37772307062374966,18.630000000000003,8850762.0,12193899.0,0.85,09/30/2023
030138,WESTERN REGIONAL MEDICAL CENTER,AZ,38.0,365.28,42.370915672697876,6.932448027224638,52.5447387488839,993843.0,0.029947190303387952,0.8312994584442978,98.6256,951165684.0,160462166.0,0.92,09/30/2023
271315,FORT BELKNAP HEALTH CENTER,MT,6.0,162.0,31.585621438746443,9.475686431623933,43.47760791043448,,,,43.74,,14508593.0,0.85,09/30/2023
181302,JAMES B HAGGIN MEMORIAL HOSPITAL,KY,25.0,112.0,58.03643973214286,17.410931919642856,79.88715929129464,,,0.029870721116946677,30.240000000000002,35535734.0,34474256.0,0.85,09/30/2023
250009,MAGNOLIA HOSPITAL,MS,158.0,273.23,31.12166524962063,28.418393632864955,61.92086627408156,6092435.0,0.2562058836516404,0.3207483306613565,73.77210000000001,174237415.0,118351055.0,0.92,09/30/2023
521331,BURNETT MEDICAL CENTER  INC,WI,25.0,112.0,44.93726820054945,13.481180460164834,61.85614967805632,,,0.03386631861461144,30.240000000000002,25350231.0,24491712.0,0.85,09/30/2023
451337,W.J. MANGOLD MEMORIAL HOSPITAL,TX,25.0,74.0,42.55714007276507,12.767142021829521,58.57990331016112,,,-0.25547244035898786,19.98,9743505.0,12232702.0,0.85,09/30/2023
420109,MCLEOD HEALTH CLARENDON,SC,49.0,235.0,50.81350245499181,10.81373977086743,65.51447516366612,565835.0,0.022273921185979477,0.18312189879318924,63.45,57323652.0,46826436.0,0.92,09/30/2023
420005,MCLEOD MEDICAL CENTER - DILLON,SC,72.0,222.0,37.6278348059598,8.702494802494803,49.20885897111053,3205712.0,0.15576271039026243,0.19123008051859866,59.940000000000005,52630449.0,42565924.0,0.92,09/30/2023
161324,GRAPE COMMUNITY HOSPITAL - HAMBURG,IA,25.0,79.0,33.06825097370984,9.92047529211295,45.518447465311596,,,-0.10642334708002901,21.330000000000002,12799682.0,14161867.0,0.85,09/30/2023
281365,JENNIE M. MELHAM MEMORIAL MED CENTER,NE,23.0,90.0,39.83080128205128,11.949240384615385,54.827097964743594,,,0.11158555345510923,24.3,20268708.0,18007013.0,0.85,09/30/2023
131308,CASCADE MEDICAL CENTER,ID,8.0,41.0,50.191170262664166,15.057351078799249,69.08814586655723,,,-0.04634893079911841,11.07,6965576.0,7288423.0,0.85,09/30/2023
010008,CRENSHAW COMMUNITY HOSPITAL,AL,29.0,85.0,35.52873303167421,3.763076923076923,42.00975803167421,,,-0.19867212558122568,22.950000000000003,10690770.0,12814728.0,0.9,09/30/2023
351364,STANDING ROCK IHS HOSPITAL,ND,12.0,160.0,34.53728365384615,3.0048076923076923e-06,37.17938885817308,,,,43.2,,19887395.0,0.9,09/30/2023
281339,MEMORIAL HEALTH CARE SYSTEMS,NE,24.0,159.0,58.97554729075956,17.692664187227866,81.17984084573054,,,0.19537613835646417,42.93,44336837.0,35674477.0,0.85,09/30/2023
251305,LAWRENCE COUNTY HOSPITAL,MS,25.0,98.0,32.45546507064364,9.736639521193093,44.67494766974097,,,-0.10444127271168711,26.46,10942494.0,12085342.0,0.85,09/30/2023
241373,PERHAM HEALTH,MN,25.0,337.0,52.05918597352203,15.617755792056608,71.65946949255307,,,0.19949098928428827,90.99000000000001,73047971.0,58475559.0,0.85,09/30/2023
440068,ATHENS REGIONAL MEDICAL CENTER,TN,172.0,414.0,39.769387541806026,6.408471525455221,49.220217214209406,820847.0,0.023407920515268715,0.43647820137201626,111.78,115320790.0,64985779.0,0.92,09/30/2023
673038,MEMORIAL HERMANN REHAB HOSP KATY,TX,35.0,157.03,44.661939903693074,13.398581971107921,61.47716027743352,,,-0.0019066478672178492,42.39810000000001,29247666.0,29303431.0,0.85,09/30/2023
371324,HARPER COUNTY COMMUNITY HOSPITAL,OK,15.0,38.0,33.881806680161944,10.164542004048583,46.63830689524292,,,-0.277450866324585,10.260000000000002,4211470.0,5379946.0,0.85,09/30/2023
340069,WAKEMED RALEIGH CAMPUS,NC,617.0,7838.0,24.361747440968067,5.3593853661648385,31.58480648636696,30085749.0,0.07041616370157516,0.1101746339838154,2116.26,1315403308.0,1170479230.0,0.92,09/30/2023
010087,USA HEALTH UNIVERSITY HOSPITAL,AL,264.0,2196.0,34.56552078954743,5.43952356557377,42.64930669552158,5511003.0,0.03372805086777283,0.15527134061076328,592.9200000000001,375249874.0,316984323.0,0.92,09/30/2023
241318,ELY-BLOOMENSON COMMUNITY HOSPITAL,MN,16.0,104.76,43.06791897964578,12.920375693893734,59.282990475482414,,,0.23643751661174892,28.285200000000003,29467096.0,22499969.0,0.85,09/30/2023
010059,LAWRENCE MEDICAL CENTER,AL,43.0,99.0,39.20742035742036,6.142317404817405,48.349105419580425,,,-0.09485927259018288,26.73,12390017.0,13565325.0,0.9,09/30/2023
361327,CHWC-MONTPELIER,OH,25.0,95.0,35.73327429149798,10.719982287449392,49.18685206224696,,,0.4164824647751283,25.650000000000002,24899310.0,14529184.0,0.85,09/30/2023
281330,WARREN MEMORIAL HOSPITAL,NE,15.0,43.0,34.95684257602863,10.487052772808587,48.118093805903406,,,-0.13528919949585502,11.610000000000001,5373851.0,6100875.0,0.85,09/30/2023
251326,JEFFERSON DAVIS GENERAL HOSPITAL,MS,25.0,41.0,63.45602720450282,19.036808161350844,87.34722144699813,,,-0.10803417242263678,11.07,13073817.0,14486236.0,0.85,09/30/2023
370173,CLAREMORE INDIAN HOSPITAL,OK,46.0,533.0,42.23172084716409,9.020060614807332e-07,45.46244839397821,,,,143.91,,68098151.0,0.9,09/30/2023
131324,LOST RIVERS HOSPITAL,ID,14.0,66.0,34.43625437062937,10.330876311188812,47.40150414117133,,,-0.024049225448861847,17.82,12117147.0,12408555.0,0.85,09/30/2023
410012,THE MIRIAM HOSPITAL,RI,247.0,2614.0,40.86711954122771,9.89607144959096,53.88952563572259,9488421.0,0.04095346750460212,0.0731432213954056,705.7800000000001,526438517.0,487933108.0,0.92,09/30/2023
223302,CHILDRENS HOSPITAL CORPORATION,MA,485.0,10006.0,52.96506543189471,15.889519629568412,72.90641256700307,,,0.10070073914527779,2701.6200000000003,1856193148.0,1669273126.0,0.85,09/30/2023
410006,NEWPORT HOSPITAL,RI,66.0,597.0,46.04459476871537,12.17564746810978,61.74265373663188,1802863.0,0.03056777695471924,-0.004914808296705394,161.19,129370051.0,130005880.0,0.92,09/30/2023
232039,PIONEER SPECIALTY HOSPITAL,MI,42.0,90.0,25.227825854700857,1.6234134615384614,28.781167994123933,613107.0,0.11490536673715965,-0.19192959884003105,24.3,7431923.0,8858329.0,0.92,09/30/2023
430098,PINE RIDGE HOSPITAL,SD,45.0,574.0,31.409483885017423,8.375770570892522e-07,33.812310239798315,,,,154.98000000000002,,74323410.0,0.9,09/30/2023
100126,HCA FLORIDA PASADENA HOSPITAL,FL,167.0,318.0,42.17955974842767,10.951348572810836,56.357644641993225,,,0.1322605195250659,85.86,88901851.0,77143646.0,0.9,09/30/2023
040153,WADLEY MEDICAL CENTER AT HOPE,AR,36.0,80.0,40.558118990384614,6.269963942307692,49.93077903545673,272063.0,0.038750257444379904,-0.20708727350329037,21.6,10571456.0,12760670.0,0.92,09/30/2023
100260,HCA FLORIDA ST. LUCIE HOSPITAL,FL,222.0,824.0,38.58279557972368,9.903162924757282,51.43754236632982,1299591.0,0.019273925609132048,0.4176548538738127,222.48000000000002,297005970.0,172959985.0,0.92,09/30/2023
410007,RHODE ISLAND HOSPITAL,RI,650.0,6658.0,40.45609085079835,9.49477638237401,53.045758183258435,51149685.0,0.08365835951050599,0.13201746772620299,1797.66,1516992406.0,1316722910.0,0.92,09/30/2023
380050,SKY LAKES MEDICAL CENTER,OR,90.0,1281.0,45.820803308713145,9.555289587461719,58.88138434929142,6153985.0,0.04798705771706951,0.18507895102080027,345.87,288377272.0,235004709.0,0.92,09/30/2023
200018,THE AROOSTOOK MEDICAL CENTER,ME,44.0,807.0,43.287235487560764,7.940328615003335,54.5390376173625,4294365.0,0.0558038859983746,0.08006928790060744,217.89000000000001,153170177.0,140905950.0,0.92,09/30/2023
421300,ALLENDALE COUNTY HOSPITAL,SC,25.0,119.0,36.171832579185526,10.851549773755657,49.79052754524888,,,-0.32062543877920474,32.13,14177119.0,18722664.0,0.85,09/30/2023
251324,WALTHALL COUNTY GENERAL HOSPITAL,MS,25.0,65.0,32.83761834319527,9.85128550295858,45.200981649408284,,,-0.020496050587183734,17.55,11619702.0,11857860.0,0.85,09/30/2023
141322,LINCOLN MEMORIAL HOSPITAL,IL,25.0,253.0,39.39462602614776,11.818387807844328,54.2267027249924,,,0.3096642207846449,68.31,64383318.0,44446108.0,0.85,09/30/2023
650001,GUAM MEMORIAL HOSPITAL,GU,161.0,996.0,40.83699799196787,12.25109939759036,56.21212773594377,,,-0.6038909577251188,268.92,98170329.0,157454503.0,0.85,09/30/2023
521348,VERNON MEMORIAL HOSPITAL,WI,18.0,297.28,55.127442336155504,16.53823270084665,75.88292437571806,,,0.273690868261059,80.26559999999999,83096068.0,60353433.0,0.85,09/30/2023
141302,MIDWEST MEDICAL CENTER,IL,25.0,119.0,60.11807934712346,18.03542380413704,82.75253622131545,,,0.13284224043389525,32.13,34261542.0,29710162.0,0.85,09/30/2023
490005,WINCHESTER MEDICAL CENTER,VA,455.0,2360.84,43.80967909238302,10.209904101929821,57.37102364488015,26774488.0,0.11068229405150147,0.16408642934061143,637.4268000000001,753297567.0,629691659.0,0.92,09/30/2023
073025,MOUNT SINAI REHABILITATION HOSPTIAL,CT,60.0,136.0,43.65195489253394,13.09558646776018,60.08691590957296,,,0.055514371725876914,36.72,24153223.0,22812372.0,0.85,09/30/2023
421301,ABBEVILLE AREA MEDICAL CENTER,SC,25.0,150.91,64.74972665827315,19.424917997481945,89.12799874511299,,,-0.10126489677433143,40.7457,41364324.0,45553078.0,0.85,09/30/2023
521344,MEMORIAL HOSPITAL OF BOSCOBEL,WI,25.0,104.0,37.54824796597633,11.264474389792898,51.685163325166414,,,0.09040105665451786,28.080000000000002,23844312.0,21688761.0,0.85,09/30/2023
250081,ANDERSON REGIONAL MED CTR-SOUTH CAMP,MS,33.0,77.0,68.51777597402597,3.5900849150849155,77.34947075112387,241266.0,0.02151265533447709,-0.16112408509809353,20.790000000000003,27350883.0,31757769.0,0.92,09/30/2023
223032,REHAB HOSPITAL OF CAPE & ISLANDS,MA,60.0,354.0,38.14628422425032,11.443885267275096,52.508360234680566,,,-0.05743176770968893,95.58000000000001,50676483.0,53586923.0,0.85,09/30/2023
340156,CHEROKEE INDIAN HOSPITAL AUTHORITY,NC,34.0,836.0,31.829494272175193,5.750828119249171e-07,34.26445115907941,,,,225.72000000000003,,52797869.0,0.9,09/30/2023
320062,CROWNPOINT INDIAN HOSPITAL,NM,19.0,431.0,31.523663662323752,1.1154738532928789e-06,33.935225047965375,,,,116.37,,40205804.0,0.9,09/30/2023
450351,TEXAS HEALTH HARRIS METHODIST STEPHE,TX,47.0,211.0,48.919907491797304,11.259246263215458,63.92152667813526,768327.0,0.03454972449327952,0.14286975002246374,56.970000000000006,61065047.0,52340699.0,0.92,09/30/2023
