health_system_id,health_system,n_facilities,monthly_fee_sum,median_target_fee,median_stretch_fee,median_reference_fee,total_term_savings
riverside_university_health_system,Riverside University Health System,1,1735000.72,1646.89,1852.75,1140.16,147962675.95
riverview_hospital,Riverview Hospital,1,19911.14,1147.16,1147.16,750.0,3333471.92
rochester_regional_health_system,Rochester Regional Health System,5,1285214.54,1750.0,1750.0,1193.4,60055215.07
rush_system_for_health,Rush System for Health,3,123244.34000000001,1357.49,1357.49,835.38,17006077.47
rwjbarnabas_health,RWJBarnabas Health,13,3045920.73,1673.74,1673.74,1030.0,175698175.04999998
saint_bernards_healthcare,Saint Bernards Healthcare,2,93009.79000000001,1334.22,1334.22,843.5450000000001,7102645.98
saint_charles_health_system,Saint Charles Health System,2,141703.41999999998,1606.61,1606.61,988.69,26906674.34
saint_clair_hospital,Saint Clair Hospital,1,126598.56,1556.19,1383.28,957.66,2754740.91
saint_claire_regional_medical_center,Saint Claire Regional Medical Center,1,28696.48,1747.93,1966.42,1210.11,3835845.12
saint_elizabeth_healthcare,Saint Elizabeth Healthcare,5,159121.68,1159.09,1159.09,750.0,17913053.58
saint_francis_health_system,Saint Francis Health System,4,102696.49999999999,1678.52,1417.575,1032.935,2140612.31
saint_francis_healthcare_system,Saint Francis Healthcare System,1,46497.85,1549.93,1127.22,953.8,910304.46
saint_joseph_medical_center,Saint Joseph Medical Center,1,744481.11,1673.74,1673.74,1030.0,68879555.6
saint_josephs_health,Saint Josephs Health,1,106102.7,1673.74,1673.74,1030.0,7526301.14
saint_lawrence_health_system,Saint Lawrence Health System,2,115551.6,1711.365,1498.37,1195.145,8709855.07
saint_lukes,Saint Lukes,8,818329.1599999999,1235.17,1235.17,760.1,75264556.3
saint_lukes_episcopal_presbyterian_hospital,Saint Lukes Episcopal Presbyterian Hospital,2,16228.980000000001,1124.78,1124.78,750.0,2013850.04
saint_lukes_health_system_mo,Saint Lukes Health System MO,8,478199.57,1139.6950000000002,1139.6950000000002,750.0,32301156.119999997
saint_lukes_hospital_of_duluth,Saint Lukes Hospital of Duluth,1,41513.76,1397.77,1397.77,860.17,4424513.72
saint_lukes_university_health_network,Saint Lukes University Health Network,6,16622.51,1555.265,1367.18,1077.6399999999999,344649.04
saint_marys_healthcare,Saint Marys Healthcare,1,38179.17,1576.78,1576.78,970.33,4856603.51
saint_peters_health,Saint Peters Health,1,40946.97,1187.43,1187.43,750.0,4904534.86
saint_peters_healthcare_system,Saint Peters Healthcare System,1,100112.8,1673.74,1487.77,1030.0,4593257.01
salem_health_hospitals_and_clinics,Salem Health Hospitals and Clinics,1,107000.54,1606.61,1606.61,988.69,20318613.45
salem_regional_medical_center,Salem Regional Medical Center,1,26141.42,1694.63,1355.7,1042.85,800890.38
