ccn,name,state,facility_type,health_system_id,health_system
07C0001029,SURGICAL CENTER OF CONNECTICUT,CT,ASC,independent,Independent / Unknown
39C0001137,MAIN LINE ENDOSCOPY CENTER WEST,PA,ASC,independent,Independent / Unknown
39C0001236,ASSOCIATES SURGERY CENTERS LLC,PA,ASC,independent,Independent / Unknown
11C0001296,LOCUST GROVE ENDO CENTER,GA,ASC,independent,Independent / Unknown
05C0001921,THOSAND OAKS SURGERY CENTER,CA,ASC,independent,Independent / Unknown
11C0001043,ALBANY SURGERY CENTER LLP,GA,ASC,independent,Independent / Unknown
26C0001049,JCMG SURGERY CENTER INC,MO,ASC,independent,Independent / Unknown
44C0001053,MAYS AND SCHNAPP PAIN CLINIC AND REHABILITATION CENTER,TN,ASC,independent,Independent / Unknown
21C0001235,ANNE ARUNDEL UROLOGICAL SURGERY CENTER,MD,ASC,independent,Independent / Unknown
29C0001073,DURANGO OUTPATIENT SURGERY CENTER,NV,ASC,independent,Independent / Unknown
11C0001350,GASTRO SPECIALISTS ENDOSCOPY CENTER LLC,GA,ASC,independent,Independent / Unknown
10C0001542,TAMPA SURGERY CENTER LLC,FL,ASC,independent,Independent / Unknown
34C0001161,CAROLINA DIGESTIVE DISEASES PA,NC,ASC,independent,Independent / Unknown
21C0001396,CENTER FOR PAIN MANAGEMENT ASC LLC,MD,ASC,independent,Independent / Unknown
38C0001089,DAY SURGERY AT RIVERBEND,OR,ASC,independent,Independent / Unknown
14C0001028,PHYSICIANS SURGERY CENTER LLC,IL,ASC,independent,Independent / Unknown
45C0001541,TEXAS HEALTH SURGERY CENTER ADDISON,TX,ASC,independent,Independent / Unknown
45C0001508,OPHTHALMOLOGY SURGERY CENTER OF DALLAS LLC,TX,ASC,independent,Independent / Unknown
25C0001076,HATTIESBURG SURGERY CENTER LLC,MS,ASC,independent,Independent / Unknown
21C0001508,PICCARD SURGERY CENTER LLC,MD,ASC,independent,Independent / Unknown
11C0001064,THE EMORY CLINIC INC,GA,ASC,independent,Independent / Unknown
36C0001278,VISTA SURGICAL CENTER,OH,ASC,independent,Independent / Unknown
15C0001186,MIDWEST SPECIALTY SURGERY CENTER LLC,IN,ASC,independent,Independent / Unknown
05C0002009,ADVANCED MULTISPECIALTY SURGERY CENTER,CA,ASC,independent,Independent / Unknown
41C0001002,CANDESCENT EYE SURGICENTER LLC,RI,ASC,independent,Independent / Unknown
45C0001277,TEXAS ENDOSCOPY PLANO,TX,ASC,independent,Independent / Unknown
45C0001390,TEXAS ENDOSCOPY CENTERS LLC DBA TEXAS ENDOSCOPY,TX,ASC,independent,Independent / Unknown
36C0001293,GREAT LAKES AMBULATORY SURGERY CENTER,OH,ASC,independent,Independent / Unknown
50C0001321,SOUTH PERRY ENDOSCOPY PLLC,WA,ASC,independent,Independent / Unknown
19C0001139,BATON ROUGE VASCULAR ACCESS LLC,LA,ASC,independent,Independent / Unknown
33C0001168,MID BRONX ENDOSCOPY CENTER LLC,NY,ASC,independent,Independent / Unknown
03C0001379,SKI AMBULATORY SURGICAL CENTERS LLC,AZ,ASC,independent,Independent / Unknown
50C0001018,NORTHWEST EYE SURGEONS,WA,ASC,independent,Independent / Unknown
50C0001159,NORTHWEST EYE SURGEONS,WA,ASC,independent,Independent / Unknown
50C0001285,NORTHWEST EYE SURGEONS,WA,ASC,independent,Independent / Unknown
50C0001294,NORTHWEST EYE SURGEONS,WA,ASC,independent,Independent / Unknown
33C0001199,STAR SUITES LLC DBA STAR SURGICAL SUITES LLC,NY,ASC,independent,Independent / Unknown
03C0001441,ADVANCED SPINE AND PAIN SURGERY CENTERS LLC,AZ,ASC,independent,Independent / Unknown
31C0001359,META SURGICAL ASSOCIATES LLC,NJ,ASC,independent,Independent / Unknown
11C0001561,WEST GEORGIA SURGERY CENTER LLC,GA,ASC,independent,Independent / Unknown
11C0001572,LAFAYETTE SURGERY CENTER LLC,GA,ASC,independent,Independent / Unknown
10C0001720,SURGCENTER OF RIVERVIEW LLC DBA WEST FLORIDA SURGICAL SUITES,FL,ASC,independent,Independent / Unknown
21C0001680,THE WESTMINSTER ENDOSCOPY ASC LLC DBA ENDOCENTRE OF WESTMINSTER,MD,ASC,independent,Independent / Unknown
44C0001098,ADVANCED FAMILY SURGERY CENTER,TN,ASC,independent,Independent / Unknown
10C0001299,LAKE WORTH SURGICAL CENTER,FL,ASC,independent,Independent / Unknown
10C0001193,NORTHWEST FLORIDA SURGICAL CENTER INC DBA NORTH FLORIDA SURGERY CENTER,FL,ASC,independent,Independent / Unknown
45C0001336,CAPLAN BERKELEY LLP,TX,ASC,independent,Independent / Unknown
45C0001602,CAPLAN BERKELEY LLP DBA KATY AREA SURGICAL CENTER,TX,ASC,independent,Independent / Unknown
45C0001739,CAPLAN BERKELEY LLP DBA GRAND OAKS SURGERY CENTER,TX,ASC,independent,Independent / Unknown
39C0001139,BERKS UROLOGIC SURGERY CENTER,PA,ASC,independent,Independent / Unknown
49C0001008,MED ATLANTIC INC,VA,ASC,independent,Independent / Unknown
21C0001443,GREENSPRING SURGERY CENTER,MD,ASC,independent,Independent / Unknown
44C0001112,PARKWEST SURGERY CENTER,TN,ASC,independent,Independent / Unknown
26C0001118,EYE SURGERY CENTER NORTHLAND LLC,MO,ASC,independent,Independent / Unknown
05C0001178,LA VETA SURGICAL CENTER,CA,ASC,independent,Independent / Unknown
45C0001242,ENDOSCOPY CENTER OF EL PASO,TX,ASC,independent,Independent / Unknown
25C0001025,MAE PHYSICIANS SURGERY CENTER LLC,MS,ASC,independent,Independent / Unknown
15C0001073,RIVERPOINTE SURGERY CENTER,IN,ASC,independent,Independent / Unknown
